Timestep,Alpha,Beta,K,C,AlignmentCost,PathCost,CollisionCost,ControlCost,TotalCost,Collisions
137,1.0,0.0,0.016931757,0.016931757,0.0002798144094679085,0.4287260484896253,0.0,0.01976356259765703,40.87920451680981,0
138,1.0,0.0,0.016931757,0.016931757,4.653471380827978e-08,0.43002000156127745,0.0,0.010671606885895406,41.3198961717917,0
139,1.0,0.0,0.016931757,0.016931757,1.6136204597440898e-09,0.4313078129513304,0.0,0.010628519211707474,41.76183250556836,0
140,1.0,0.0,0.016931757,0.016931757,1.8981627107853533e-09,0.4325689070171239,0.0,0.010649153698889191,42.205050568182536,0
141,1.0,0.0,0.016931757,0.016931757,1.7255989837119988e-09,0.433803583535703,0.0,0.010670326342025901,42.64952447978586,0
142,1.0,0.0,0.016931757,0.016931757,0.0002979257954755906,0.4352864107229201,0.0,0.019924252218798434,43.105033068523056,0
143,1.0,0.0,0.016931757,0.016931757,0.00029503715563447075,0.4366988188152468,0.0,0.020531057047515316,43.56255798154145,0
144,1.0,0.0,0.016931757,0.016931757,0.00028790894647882497,0.43806737760378217,0.0,0.020341860432459603,44.021255128524174,0
145,1.0,0.0,0.016931757,0.016931757,0.00028482060665791035,0.4393998007220803,0.0,0.020260555691860072,44.481200305544775,0
146,1.0,0.0,0.016931757,0.016931757,0.0002872118619854093,0.44070972093341454,0.0,0.02021106966928914,44.94240830800946,0
147,1.0,0.0,0.016931757,0.016931757,3.912922428669564e-08,0.44175196169068265,0.0,0.01087742273267136,45.39503773156204,0
148,1.0,0.0,0.016931757,0.016931757,1.427782486919589e-09,0.44279822463650786,0.0,0.010825530708497467,45.84866148833483,0
149,1.0,0.0,0.016931757,0.016931757,1.4139389711041504e-09,0.44382359926714915,0.0,0.010841499913756806,46.30332658892967,0
150,1.0,0.0,0.016931757,0.016931757,1.301766651278697e-09,0.4448284142787577,0.0,0.010857570667496938,46.75901257517769,0
151,1.0,0.0,0.016931757,0.016931757,1.2335530984495175e-09,0.4458131558594156,0.0,0.010873227126837805,47.2156989593975,0
152,1.0,0.0,0.016931757,0.016931757,1.1659656514693212e-09,0.4467783021465328,0.0,0.010888464233792234,47.67336572694379,0
153,1.0,0.0,0.016931757,0.016931757,0.000288564806749244,0.44806849617461886,0.0,0.01988247753565047,48.14160526546081,0
154,1.0,0.0,0.016931757,0.016931757,0.0003213516547985395,0.4495054050625211,0.0,0.021093999420939303,48.612526021599066,0
155,1.0,0.0,0.016931757,0.016931757,1.1078943327876393e-08,0.45033781514478505,0.0,0.01110141921119883,49.07396526703399,0
156,1.0,0.0,0.016931757,0.016931757,1.979555667636936e-09,0.45120410817786694,0.0,0.010984588083626498,49.53615396527504,0
157,1.0,0.0,0.016931757,0.016931757,2.1954780847245245e-09,0.4520538021864514,0.0,0.01099657895930118,49.999204348616274,0
158,1.0,0.0,0.016931757,0.016931757,2.024955521973485e-09,0.4528871730419035,0.0,0.011008608168268008,50.4631001318514,0
159,1.0,0.0,0.016931757,0.016931757,1.9228318528896796e-09,0.45370458709292943,0.0,0.011020316778023327,50.927825037645185,0
160,1.0,0.0,0.016931757,0.016931757,1.825805995099516e-09,0.45450640358142175,0.0,0.0110317125486328,51.393363155601044,0
161,1.0,0.0,0.016931757,0.016931757,1.722967621194482e-09,0.45529297382393175,0.0,0.011042797377941406,51.85969892852589,0
162,1.0,0.0,0.016931757,0.016931757,1.6343490194624306e-09,0.4560646370739746,0.0,0.011053585398220935,52.32681715263243,0
163,1.0,0.0,0.016931757,0.016931757,1.5517172026129558e-09,0.456821724169925,0.0,0.011064083246922755,52.794702961601,0
164,1.0,0.0,0.016931757,0.016931757,1.4719845237249237e-09,0.4575645578000619,0.0,0.01107429684314694,53.26334181771619,0
165,1.0,0.0,0.016931757,0.016931757,1.4016358605195667e-09,0.4582934504894568,0.0,0.011084237141053681,53.73271950674833,0
166,1.0,0.0,0.016931757,0.016931757,1.3365691020078463e-09,0.459008707143201,0.0,0.011093909688436777,54.20282212491654,0
